Tiêu đề,Giá,Diện tích,Địa chỉ,Link chi tiết
"Bán nhà 6/22A Lê Thúc Hoạch, P.Phú Thọ Hoà (50m2) 1 lầu đúc, 5.6 tỷ TL",5.6 tỷ,52.7 m²,"6/22A Lê Thúc Hoạch, P.Phú Thọ Hoà, Q.Tân Phú",https://nhabansg.vn/ban-nha-622a-le-thuc-hoach-pphu-tho-hoa-50m2-1-lau-duc-56-ty-tl-nb619292.html
Chính chủ Bán Nhà 356/12  Gò Dầu - P. Tân Quý - Tân Phú,8.1 tỷ,85 m²,356/12  Gò Dầu - P. Tân Quý - Tân Phú,https://nhabansg.vn/chinh-chu-ban-nha-35612-go-dau-p-tan-quy-tan-phu-nb619287.html
"Chính chủ cần bán nhà 2 lầu. Vườn Lài, Tân Phú. Giá 1,17 tỷ. Sổ sẵn",1.17 tỷ,52 m²,"Đường Vườn Lài, Phường Tân Thành, Quận Tân Phú",https://nhabansg.vn/chinh-chu-can-ban-nha-2-lau-vuon-lai-tan-phu-gia-117-ty-so-san-nb619279.html
"Bán nhà 281/19 khuông việt 4,3x14 ko lộ giới",5.9 tỷ,60.2 m²,281/19 khuông việt,https://nhabansg.vn/ban-nha-28119-khuong-viet-43x14-ko-lo-gioi-nb615809.html
"Bán nhà đường gò dầu quận tân phú Dt: 4mx14m đường vào oto giá 6,2 tỷ",6.2 tỷ,56 m²,"đường gò dầu, phường tân quý, quận tân phú",https://nhabansg.vn/ban-nha-duong-go-dau-quan-tan-phu-dt-4mx14m-duong-vao-oto-gia-59-ty-nb593071.html
Bán đất 100m2 giá 10 tỷ HXH đường Lê Trọng Tấn quận tân phú gần Aeon,10 tỷ,102 m²,"đường lê trọng tấn, phường tây thạnh, tp. hồ chí minh",https://nhabansg.vn/ban-dat-100m2-gia-10-ty-hxh-duong-le-trong-tan-quan-tan-phu-gan-aeon-nb618727.html
"Bán nhà 3,5 Tầng đường độc lập quận tân phú, Dt: 4x17m Giá 8,5 Tỷ",8.5 tỷ,68 m²,"đường độc lập, phường tân thành, quận tân phú",https://nhabansg.vn/ban-nha-35-tang-duong-doc-lap-quan-tan-phu-dt-4x17m-gia-85-ty-nb619192.html
"Bán nhà 621/14 Bình Long 4,15x18 trệt 3 lầu đúc thật",6.75 tỷ,74.7 m²,621/14 Bình long,https://nhabansg.vn/ban-nha-62114-binh-long-415x18-tret-3-lau-duc-that-nb619215.html
Chính chủ cần bán nhà diện tích: 8x20. mặt tiền đường 12m. Gần Aeon Tân Phú,21 tỷ,160 m²,"10, Đường T5, Phường Tây Thạnh, Quận Tân Phú",https://nhabansg.vn/chinh-chu-can-ban-nha-dien-tich-8x20-mat-tien-duong-12m-gan-aeon-tan-phu-nb619140.html
"Chính chủ bán Nhà 17/16 huỳnh văn gấm, P tây Thạnh, Q.Tân Phú",4.5 tỷ,54 m²,"17/16 huỳnh văn gấm, P tây Thạnh, Q.Tân Phú",https://nhabansg.vn/chinh-chu-ban-nha-1716-huynh-van-gam-p-tay-thanh-qtan-phu-nb619136.html
Nhà MT đường 30/4 đang kinh doanh thu nhập 50 triệu/thg cần bán giá tốt,24.5 tỷ,161 m²,"Đường 30 Tháng 4, Phường Tân Thành, Quận Tân Phú",https://nhabansg.vn/nha-mt-duong-304-dang-kinh-doanh-thu-nhap-50-trieuthg-can-ban-gia-tot-nb619087.html
"Bán nhà MT số 77 Lê Trọng Tấn, Phường  Sơn Kỳ, Tân Phú",32 tỷ,156.4 m²,"77, Đường Lê Trọng Tấn, Phường Sơn Kỳ, Quận Tân Phú",https://nhabansg.vn/ban-nha-mt-so-77-le-trong-tan-phuong-son-ky-tan-phu-nb619027.html
"Nhà bán 186/18 Nguyễn sơn, P. Phú thọ hòa, Q. Tân Phú",5.1 tỷ,57.7 m²,"186/18 Nguyễn sơn, P. Phú thọ hòa, Q. Tân Phú",https://nhabansg.vn/nha-ban-18618-nguyen-son-p-phu-tho-hoa-q-tan-phu-nb618712.html
"Chính chủ gửi bán căn nhà vị trí đắc địa nhất khu Tây Thạnh, Tân Phú",11.2 tỷ,100 m²,"Phường Tây Thạnh, Quận Tân Phú",https://nhabansg.vn/chinh-chu-gui-ban-can-nha-vi-tri-dac-dia-nhat-khu-tay-thanh-tan-phu-nb618663.html
Chính chủ SHR đi bộ Aeon,4.95 tỷ,31.6 m²,Hẻm 481 Tân Kỳ Tân Quý,https://nhabansg.vn/chinh-chu-shr-di-bo-aeon-nb618531.html
"Chính chủ bán nhà hẻm 8m,  Luỹ Bán Bích, Phú Thạnh, Tân Phú",20 tỷ,160 m²,"Đường Lũy Bán Bích, Phường Phú Thạnh, Quận Tân Phú",https://nhabansg.vn/chinh-chu-ban-nha-hem-8m-luy-ban-bich-phu-thanh-tan-phu-nb618473.html
"BÁN NHÀ 4x13M. 3 LẦU BTCT . HẺM 8M,56/24 TRẦN HƯNG ĐẠO. GIÁ 7,9 TỶ",7.9 tỷ,52 m²,"56/24 , Đường Trần Hưng Đạo, Phường Tân Sơn Nhì, Quận Tân Phú",https://nhabansg.vn/ban-nha-4x13m-3-lau-btct-hem-8m5624-tran-hung-dao-gia-79-ty-nb618374.html
"Chính chủ Bán nhà  35/21  Đỗ Công Tường , Tân Quý , Q.Tân Phú.",5.6 tỷ,49.5 m²,"35/21  Đỗ Công Tường , Tân Quý , Q.Tân Phú.",https://nhabansg.vn/chinh-chu-ban-nha-3521-do-cong-tuong-tan-quy-qtan-phu-nb618367.html
"Nhà bán 205/15 Thoại Ngọc Hầu, P. Phú thạnh, Q. Tân Phú",4.95 tỷ,36.4 m²,"205/15 Thoại Ngọc Hầu, P. Phú thạnh, Q. Tân Phú",https://nhabansg.vn/nha-ban-20515-thoai-ngoc-hau-p-phu-thanh-q-tan-phu-nb618334.html
"Bán nhà số 182/23 Thoại Ngọc Hầu, Phường Phú Thạnh, TP.HCM",14.7 tỷ,94 m²,"182/23, Đường Thoại Ngọc Hầu, Phường Phú Thạnh, Quận Tân Phú",https://nhabansg.vn/ban-nha-so-18223-thoai-ngoc-hau-phuong-phu-thanh-tphcm-nb618197.html
"Bán nhà số 170/2 Phú Thọ Hòa, Phường Phú Thọ Hòa, Quận Tân Phú",25 tỷ,127 m²,"170/2, Đường Phú Thọ Hoà, Phường Phú Thọ Hòa, Quận Tân Phú",https://nhabansg.vn/ban-nha-so-1702-phu-tho-hoa-phuong-phu-tho-hoa-quan-tan-phu-nb618090.html
